rodada;qtd_amostra;execucao;tmp_total;tmp_python;origem
5;32000;37;4686;2.56253051757813;SQL_Server
5;32000;38;5610;3.48441863059998;SQL_Server
5;32000;39;4250;2.12502598762512;SQL_Server
5;32000;40;6064;3.95317196846008;SQL_Server
5;32000;41;5000;2.87503385543823;SQL_Server
5;32000;42;5700;3.59379482269287;SQL_Server
5;32000;43;4516;2.32815408706665;SQL_Server
5;32000;44;4954;2.8281581401825;SQL_Server
5;32000;45;4673;2.54690504074097;SQL_Server
5;32000;46;5250;3.09378862380981;SQL_Server
5;32000;47;6390;4.28130388259888;SQL_Server
5;32000;48;4937;2.82816004753113;SQL_Server
5;32000;49;5220;3.09378623962402;SQL_Server
6;64000;0;8077;5.87507319450378;SQL_Server
6;64000;1;8140;5.89069724082947;SQL_Server
6;64000;2;6627;4.40630459785461;SQL_Server
6;64000;3;7530;5.29694128036499;SQL_Server
6;64000;4;6970;4.75005960464478;SQL_Server
6;64000;5;8140;5.90632438659668;SQL_Server
6;64000;6;6530;4.28130173683167;SQL_Server
6;64000;7;7313;5.07818937301636;SQL_Server
6;64000;8;6923;4.70318365097046;SQL_Server
6;64000;9;7814;5.59381937980652;SQL_Server
6;64000;10;6670;4.45318031311035;SQL_Server
6;64000;11;7580;5.32819199562073;SQL_Server
6;64000;12;7326;5.07818865776062;SQL_Server
6;64000;13;8000;5.78132176399231;SQL_Server
6;64000;14;6610;4.37505435943604;SQL_Server
6;64000;15;7700;5.46881818771362;SQL_Server
6;64000;16;7016;4.79693675041199;SQL_Server
6;64000;17;7734;5.50006794929504;SQL_Server
6;64000;18;6346;4.12505054473877;SQL_Server
6;64000;19;7234;4.98443746566772;SQL_Server
6;64000;20;7390;5.15631484985352;SQL_Server
6;64000;21;7580;5.35944223403931;SQL_Server
6;64000;22;6750;4.48443102836609;SQL_Server
6;64000;23;7560;5.35944199562073;SQL_Server
6;64000;24;7190;4.95318746566772;SQL_Server
6;64000;25;8123;5.90632367134094;SQL_Server
6;64000;26;6500;4.26567792892456;SQL_Server
6;64000;27;7237;5.0000627040863;SQL_Server
6;64000;28;7030;4.79693484306335;SQL_Server
6;64000;29;6406;4.18755173683167;SQL_Server
6;64000;30;6530;4.31255340576172;SQL_Server
6;64000;31;7017;4.78131008148193;SQL_Server
6;64000;32;7093;4.85943579673767;SQL_Server
6;64000;33;6784;4.48443150520325;SQL_Server
6;64000;34;7310;5.06256365776062;SQL_Server
6;64000;35;7093;4.78131198883057;SQL_Server
6;64000;36;7627;5.40631747245789;SQL_Server
6;64000;37;6546;4.29692816734314;SQL_Server
6;64000;38;7220;5.0000627040863;SQL_Server
6;64000;39;7234;5.00006222724915;SQL_Server
6;64000;40;8156;5.9531991481781;SQL_Server
6;64000;41;6577;4.34380483627319;SQL_Server
6;64000;42;7457;5.25006580352783;SQL_Server
6;64000;43;6950;4.70318365097046;SQL_Server
6;64000;44;8050;5.84382057189941;SQL_Server
6;64000;45;6546;4.28130340576172;SQL_Server
6;64000;46;6890;4.67193341255188;SQL_Server
6;64000;47;7064;4.79693508148193;SQL_Server
6;64000;48;7653;5.35944151878357;SQL_Server
6;64000;49;6457;4.25005102157593;SQL_Server
7;128000;0;11970;9.59387063980103;SQL_Server
7;128000;1;11343;8.90636157989502;SQL_Server
7;128000;2;12844;10.4063789844513;SQL_Server
7;128000;3;11156;8.75010919570923;SQL_Server
7;128000;4;12517;10.0782516002655;SQL_Server
7;128000;5;11547;9.15636467933655;SQL_Server
7;128000;6;12203;9.85949802398682;SQL_Server
7;128000;7;10873;8.43760466575623;SQL_Server
7;128000;8;11813;9.43761849403381;SQL_Server
7;128000;9;12234;9.78137302398682;SQL_Server
7;128000;10;12016;9.64074540138245;SQL_Server
7;128000;11;11344;8.92198610305786;SQL_Server
7;128000;12;11953;9.53136920928955;SQL_Server
7;128000;13;11343;8.90636134147644;SQL_Server
7;128000;14;12190;9.76574635505676;SQL_Server
7;128000;15;11437;9.04698801040649;SQL_Server
7;128000;16;13030;10.59388256073;SQL_Server
7;128000;17;11097;8.67198348045349;SQL_Server
7;128000;18;13140;10.5626320838928;SQL_Server
7;128000;19;11670;9.26574087142944;SQL_Server
7;128000;20;12406;10.0001254081726;SQL_Server
7;128000;21;12220;9.78137230873108;SQL_Server
7;128000;22;12204;9.75012159347534;SQL_Server
7;128000;23;12406;9.98450016975403;SQL_Server
7;128000;24;12594;10.1876277923584;SQL_Server
7;128000;25;12330;9.90637445449829;SQL_Server
7;128000;26;12343;9.92199873924255;SQL_Server
7;128000;27;12060;9.62512135505676;SQL_Server
7;128000;28;11297;8.90636086463928;SQL_Server
7;128000;29;12516;10.0938763618469;SQL_Server
7;128000;30;11580;9.18761539459229;SQL_Server
7;128000;31;11690;9.29699087142944;SQL_Server
7;128000;32;11296;8.85948610305786;SQL_Server
7;128000;33;12704;10.2813792228699;SQL_Server
7;128000;34;12123;9.70324635505676;SQL_Server
7;128000;35;12750;10.312628030777;SQL_Server
7;128000;36;11033;8.64073300361633;SQL_Server
7;128000;37;12610;10.1876277923584;SQL_Server
7;128000;38;11717;9.2657413482666;SQL_Server
7;128000;39;12737;10.3126287460327;SQL_Server
7;128000;40;10906;8.51573133468628;SQL_Server
7;128000;41;13547;11.1251389980316;SQL_Server
7;128000;42;11563;9.12511396408081;SQL_Server
7;128000;43;12310;9.92199945449829;SQL_Server
7;128000;44;11157;8.67198371887207;SQL_Server
7;128000;45;12250;9.85949850082397;SQL_Server
7;128000;46;11783;9.37511706352234;SQL_Server
7;128000;47;11967;9.53136873245239;SQL_Server
7;128000;48;11173;8.79698419570923;SQL_Server
7;128000;49;12157;9.71887159347534;SQL_Server
8;256000;0;22220;19.4221184253693;SQL_Server
8;256000;1;22187;19.3439924716949;SQL_Server
8;256000;2;22703;19.8439993858337;SQL_Server
8;256000;3;22143;19.2814919948578;SQL_Server
8;256000;4;21547;18.6877346038818;SQL_Server
8;256000;5;22030;19.2189908027649;SQL_Server
8;256000;6;21813;18.9689877033234;SQL_Server
8;256000;7;22047;19.1721153259277;SQL_Server
8;256000;8;22720;19.8752493858337;SQL_Server
8;256000;9;22157;19.3127422332764;SQL_Server
8;256000;10;21000;18.1721034049988;SQL_Server
8;256000;11;23796;20.9221367835999;SQL_Server
8;256000;12;22484;19.6564962863922;SQL_Server
8;256000;13;22016;19.2189900875092;SQL_Server
8;256000;14;21190;18.375230550766;SQL_Server
8;256000;15;22437;19.5471198558807;SQL_Server
8;256000;16;21577;18.7658605575562;SQL_Server
8;256000;17;21643;18.8283607959747;SQL_Server
8;256000;18;21437;18.6252348423004;SQL_Server
8;256000;19;22453;19.6408710479736;SQL_Server
8;256000;20;22563;19.7502477169037;SQL_Server
8;256000;21;22564;19.7189970016479;SQL_Server
8;256000;22;22420;19.6252462863922;SQL_Server
8;256000;23;23050;20.2033784389496;SQL_Server
8;256000;24;21670;18.8439860343933;SQL_Server
8;256000;25;21610;18.8283607959747;SQL_Server
8;256000;26;22563;19.7033717632294;SQL_Server
8;256000;27;20983;18.172102689743;SQL_Server
8;256000;28;22814;19.9846248626709;SQL_Server
8;256000;29;22203;19.3596177101135;SQL_Server
8;256000;30;22407;19.5002436637878;SQL_Server
8;256000;31;20940;18.0627272129059;SQL_Server
8;256000;32;21343;18.4689819812775;SQL_Server
8;256000;33;21983;19.1721150875092;SQL_Server
8;256000;34;21640;18.8283612728119;SQL_Server
8;256000;35;21127;18.2814788818359;SQL_Server
8;256000;36;21513;18.6564843654633;SQL_Server
8;256000;37;21733;18.8908615112305;SQL_Server
8;256000;38;22173;19.3596177101135;SQL_Server
8;256000;39;21547;18.6877343654633;SQL_Server
8;256000;40;21627;18.7658605575562;SQL_Server
8;256000;41;22046;19.2033655643463;SQL_Server
8;256000;42;22860;20.0158755779266;SQL_Server
8;256000;43;22564;19.7189972400665;SQL_Server
8;256000;44;22873;20.000251531601;SQL_Server
8;256000;45;22033;19.2346160411835;SQL_Server
8;256000;46;21907;19.0314886569977;SQL_Server
8;256000;47;20967;18.1564781665802;SQL_Server
8;256000;48;22203;19.4064931869507;SQL_Server
8;256000;49;21970;19.1096150875092;SQL_Server
9;512000;0;46733;43.0317890644073;SQL_Server
9;512000;1;45347;41.6723976135254;SQL_Server
